Date,Passengers
JAN1949,112
FEB1949,118
MAR1949,132
APR1949,129
MAY1949,121
JUN1949,135
JUL1949,148
AUG1949,148
SEP1949,136
OCT1949,119
NOV1949,104
DEC1949,118
JAN1950,115
FEB1950,126
MAR1950,141
APR1950,135
MAY1950,125
JUN1950,149
JUL1950,170
AUG1950,170
SEP1950,158
OCT1950,133
NOV1950,114
DEC1950,140
JAN1951,145
FEB1951,150
MAR1951,178
APR1951,163
MAY1951,172
JUN1951,178
JUL1951,199
AUG1951,199
SEP1951,184
OCT1951,162
NOV1951,146
DEC1951,166
JAN1952,171
FEB1952,180
MAR1952,193
APR1952,181
MAY1952,183
JUN1952,218
JUL1952,230
AUG1952,242
SEP1952,209
OCT1952,191
NOV1952,172
DEC1952,194
JAN1953,196
FEB1953,196
MAR1953,236
APR1953,235
MAY1953,229
JUN1953,243
JUL1953,264
AUG1953,272
SEP1953,237
OCT1953,211
NOV1953,180
DEC1953,201
JAN1954,204
FEB1954,188
MAR1954,235
APR1954,227
MAY1954,234
JUN1954,264
JUL1954,302
AUG1954,293
SEP1954,259
OCT1954,229
NOV1954,203
DEC1954,229
JAN1955,242
FEB1955,233
MAR1955,267
APR1955,269
MAY1955,270
JUN1955,315
JUL1955,364
AUG1955,347
SEP1955,312
OCT1955,274
NOV1955,237
DEC1955,278
JAN1956,284
FEB1956,277
MAR1956,317
APR1956,313
MAY1956,318
JUN1956,374
JUL1956,413
AUG1956,405
SEP1956,355
OCT1956,306
NOV1956,271
DEC1956,306
JAN1957,315
FEB1957,301
MAR1957,356
APR1957,348
MAY1957,355
JUN1957,422
JUL1957,465
AUG1957,467
SEP1957,404
OCT1957,347
NOV1957,305
DEC1957,336
JAN1958,340
FEB1958,318
MAR1958,362
APR1958,348
MAY1958,363
JUN1958,435
JUL1958,491
AUG1958,505
SEP1958,404
OCT1958,359
NOV1958,310
DEC1958,337
JAN1959,360
FEB1959,342
MAR1959,406
APR1959,396
MAY1959,420
JUN1959,472
JUL1959,548
AUG1959,559
SEP1959,463
OCT1959,407
NOV1959,362
DEC1959,405
JAN1960,417
FEB1960,391
MAR1960,419
APR1960,461
MAY1960,472
JUN1960,535
JUL1960,622
AUG1960,606
SEP1960,508
OCT1960,461
NOV1960,390
DEC1960,432
